timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743658886013,1540,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-1,,true,,7074,2816,20,20,null,1538,31065,295
1743658917926,727,Delete Cart,200,OK,Thread Group 1-6,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,727,0,289
1743658887030,1322,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-6,,true,,6866,2816,20,20,null,1318,30303,289
1743658918236,673,Delete Cart,200,OK,Thread Group 1-18,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,673,0,287
1743658886545,1269,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-18,,true,,6707,2816,20,20,null,1269,31096,287
1743658918235,684,Delete Cart,200,OK,Thread Group 1-4,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,684,0,287
1743658886243,1570,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-4,,true,,6786,2816,20,20,null,1570,31108,287
1743658918260,677,Delete Cart,200,OK,Thread Group 1-12,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,677,0,296
1743658887030,1376,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-12,,true,,6723,2816,20,20,null,1366,30533,296
1743658918387,670,Delete Cart,200,OK,Thread Group 1-20,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,670,0,288
1743658886846,1565,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-20,,true,,7050,2816,20,20,null,1563,30648,288
1743658918387,677,Delete Cart,200,OK,Thread Group 1-13,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,677,0,284
1743658886832,1232,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-13,,true,,6671,2816,20,20,null,1230,31001,284
1743658918387,678,Delete Cart,200,OK,Thread Group 1-7,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,678,0,282
1743658886538,1220,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-7,,true,,6972,2816,20,20,null,1215,31309,282
1743658918387,680,Delete Cart,200,OK,Thread Group 1-2,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,680,0,296
1743658886379,1508,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-2,,true,,6606,2816,20,20,null,1506,31182,296
1743658918411,696,Delete Cart,200,OK,Thread Group 1-9,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,695,0,284
1743658886727,1508,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,6776,2816,20,20,null,1504,30873,284
1743658918782,656,Delete Cart,200,OK,Thread Group 1-11,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,656,0,290
1743658888011,1169,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-11,,true,,6974,2816,20,20,null,1159,30260,290
1743658919040,682,Delete Cart,200,OK,Thread Group 1-19,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,682,0,286
1743658887433,1187,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-19,,true,,6668,2816,20,20,null,1177,31147,286
1743658919357,682,Delete Cart,200,OK,Thread Group 1-5,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,681,0,288
1743658887222,1196,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-5,,true,,6587,2816,20,20,null,1190,31622,288
1743658919593,674,Delete Cart,200,OK,Thread Group 1-16,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,674,0,289
1743658888275,1181,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-16,,true,,6992,2816,20,20,null,1172,30836,289
1743658919768,667,Delete Cart,200,OK,Thread Group 1-8,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,667,0,285
1743658888423,1156,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-8,,true,,6594,2816,20,20,null,1146,30857,285
1743658921844,680,Delete Cart,200,OK,Thread Group 1-3,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,680,0,295
1743658889909,1392,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-3,,true,,6755,2816,20,20,null,1378,31224,295
1743658922347,698,Delete Cart,200,OK,Thread Group 1-14,text,true,,312,1008,20,20,https://api.demoblaze.com/deletecart,698,0,288
1743658890447,1191,/cart.html,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-14,,true,,6718,2816,20,20,null,1179,31408,288
1743658928052,0,Debug Sampler,200,OK,Thread Group 1-15,text,true,,736,0,20,20,null,0,0,0
1743658928492,1,Debug Sampler,200,OK,Thread Group 1-10,text,true,,774,0,20,20,null,0,0,0
1743658928612,1,Debug Sampler,200,OK,Thread Group 1-17,text,true,,768,0,20,20,null,0,0,0
1743658928613,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,735,0,20,20,null,0,0,0
1743658928666,0,Debug Sampler,200,OK,Thread Group 1-6,text,true,,650,0,20,20,null,0,0,0
1743658928912,1,Debug Sampler,200,OK,Thread Group 1-18,text,true,,775,0,20,20,null,0,0,0
1743658928928,0,Debug Sampler,200,OK,Thread Group 1-4,text,true,,650,0,20,20,null,0,0,0
1743658928941,0,Debug Sampler,200,OK,Thread Group 1-12,text,true,,651,0,20,20,null,0,0,0
1743658929058,0,Debug Sampler,200,OK,Thread Group 1-20,text,true,,715,0,20,20,null,0,0,0
1743658929072,0,Debug Sampler,200,OK,Thread Group 1-2,text,true,,846,0,20,20,null,0,0,0
1743658929072,0,Debug Sampler,200,OK,Thread Group 1-13,text,true,,656,0,20,20,null,0,0,0
1743658929072,0,Debug Sampler,200,OK,Thread Group 1-7,text,true,,847,0,20,20,null,0,0,0
1743658929111,1,Debug Sampler,200,OK,Thread Group 1-9,text,true,,847,0,20,20,null,0,0,0
1743658929447,0,Debug Sampler,200,OK,Thread Group 1-11,text,true,,848,0,20,20,null,0,0,0
1743658929763,0,Debug Sampler,200,OK,Thread Group 1-19,text,true,,651,0,20,20,null,0,0,0
1743658930047,0,Debug Sampler,200,OK,Thread Group 1-5,text,true,,847,0,20,20,null,0,0,0
1743658930286,1,Debug Sampler,200,OK,Thread Group 1-16,text,true,,847,0,20,20,null,0,0,0
1743658930420,0,Debug Sampler,200,OK,Thread Group 1-8,text,true,,716,0,20,20,null,0,0,0
1743658932533,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,735,0,20,20,null,0,0,0
1743658933054,0,Debug Sampler,200,OK,Thread Group 1-14,text,true,,717,0,20,20,null,0,0,0
1743658938496,660,Extract Product IDs,200,OK,Thread Group 1-10,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,656,0,284
1743658938054,1124,Extract Product IDs,200,OK,Thread Group 1-15,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,1118,0,772
1743658938614,660,Extract Product IDs,200,OK,Thread Group 1-17,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,654,0,284
1743658938615,661,Extract Product IDs,200,OK,Thread Group 1-1,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,657,0,283
1743658938679,657,Extract Product IDs,200,OK,Thread Group 1-6,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,654,0,283
1743658938921,662,Extract Product IDs,200,OK,Thread Group 1-18,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,657,0,281
1743658938934,660,Extract Product IDs,200,OK,Thread Group 1-4,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,655,0,289
1743658938945,672,Extract Product IDs,200,OK,Thread Group 1-12,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,672,0,288
1743658939063,661,Extract Product IDs,200,OK,Thread Group 1-20,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,658,0,290
1743658939076,652,Extract Product IDs,200,OK,Thread Group 1-2,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,647,0,292
1743658939076,656,Extract Product IDs,200,OK,Thread Group 1-13,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,653,0,292
1743658939076,675,Extract Product IDs,200,OK,Thread Group 1-7,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,671,0,292
1743658939116,653,Extract Product IDs,200,OK,Thread Group 1-9,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,647,0,282
1743658939460,659,Extract Product IDs,200,OK,Thread Group 1-11,text,true,,2931,806,20,20,https://api.demoblaze.com/entries,653,0,287
